id,osm_id,lat,lon
41950b3a,,51.2057827,27.2486139
afab801b,,51.2836218,27.2059077
64a96092,,51.2911861,27.3941213
b7d3ce1d,,50.3408963,26.3968574
8357c19b,,50.6302875,26.8292699
c73ae090,,50.5315279,26.6994689
4dd270dd,,50.4211877,26.5323688
b6350276,,50.5446797,26.5344967
aaadc81f,,50.1966962,26.2980353
c1fb485c,,50.3493394,26.5757709
ea2e8102,,50.5038795,26.5247105
639bf350,,50.396825,26.5945831
973ea456,,50.6068436,26.6476579
d9b1c58e,,50.4274068,26.2750545
1d379a7b,,50.5144933,26.7116247
322d89d7,,49.9778341,26.4117229
822c62da,,50.5170374,26.5783208
fdf33b23,,50.4749451,26.3234279
e618b587,,50.4489727,26.3802316
715fc535,,50.5556139,26.9661119
d1391125,,50.2371795,26.3261293
2ee8f931,,50.5236299,26.7867209
804deeb5,,50.4539281,26.6064776
89896dce,,50.6376544,26.6322005
0404c85a,,50.4212214,26.5554939
481848c7,,50.4065575,26.6427354
39ed69ef,,50.5077212,26.289914
4c868ec3,,50.5472943,26.4509985
5ae1f03d,,50.5727707,26.6233386
96dca81e,,50.4811071,26.634524
3d1fbcf8,,50.5725525,26.5882869
dc75bd16,,50.593954,26.7883711
7fde802c,,50.5645117,26.9993385
d9edf03a,,50.6527316,26.7769477
b3189dad,,50.9963971,26.9523369
0604c7e5,,51.5249684,26.6142368
54e969bd,,50.8881298,26.9159186
4cf81d01,,50.6837258,26.0266274
97d6a4d3,,50.708048,26.099191
db8a97f8,,51.0887649,26.1500133
2e0622b8,,51.045429,26.161145
4fd67031,,51.6489311,26.6559488
c7877a52,,50.6399293,26.3597876
6aec1b43,,50.5515415,26.0310073
f3ac61f7,,51.5680977,26.5666461
d63e5491,,50.6491095,26.5532661
58c03a08,,51.2291118,26.3614443
1b1adf1c,,51.445877,26.5223624
06d14776,,50.6745963,26.7624935
00c48691,,50.8363042,26.516492
d5b7a560,,50.6770786,26.3373579
ebae374f,,50.6530316,26.8643366
5ca332ba,,51.2575271,26.639406
3d006e76,,50.5695904,25.968463
fa93eb6f,,50.948376,26.4705971
ad8d7d19,,50.8453531,26.8051039
aea53ebe,,51.0549296,26.653612
dfdfb13f,,50.6825832,26.1497831
22a33988,,50.73012,26.5112933
924ec271,,51.3253201,26.6351763
b9629bc0,,51.2007083,26.900969
8c05e1d1,,50.6382265,26.8942712
258816e6,,50.7006611,26.5684977
9db712c4,,50.6655337,26.9242655
adcee779,,51.8219565,26.2971134
35734d1c,,51.6961426,25.5665847
c1cef8e3,,51.8458834,25.9237273
275a2704,,51.8039099,26.1064305
7a46d483,,51.7701666,25.9330798
016b68d9,,51.8151092,26.2314719
e5dcc8fd,,50.4930855,25.6723529
99f8ce9f,,50.3075169,25.5567471
